fpr,tpr,threshold
0.000000000000000000e+00,0.000000000000000000e+00,inf
5.339137934575025101e-04,1.914599999999999913e-01,1.000000000000000000e+00
5.339137934575025101e-04,1.924200000000000077e-01,9.538035638846887876e-01
5.544489393597141743e-04,1.924200000000000077e-01,9.538029083370234140e-01
5.544489393597141743e-04,1.998800000000000021e-01,9.526307833735569996e-01
5.749840852619258385e-04,1.998800000000000021e-01,9.526285113599296528e-01
5.749840852619258385e-04,2.087400000000000089e-01,9.522204631998307800e-01
5.955192311641373942e-04,2.087400000000000089e-01,9.522203942689335676e-01
5.955192311641373942e-04,2.179000000000000103e-01,9.519572466527398413e-01
6.160543770663490584e-04,2.179000000000000103e-01,9.519549515880991741e-01
6.160543770663490584e-04,2.221400000000000041e-01,9.518493331972850413e-01
6.365895229685607226e-04,2.221400000000000041e-01,9.518490450710195283e-01
6.365895229685607226e-04,2.240800000000000014e-01,9.518069676779422617e-01
6.571246688707722784e-04,2.240800000000000014e-01,9.518066271065190875e-01
6.571246688707722784e-04,2.254200000000000093e-01,9.517717895588860832e-01
6.776598147729839426e-04,2.254200000000000093e-01,9.517697744733724097e-01
6.776598147729839426e-04,2.289599999999999969e-01,9.516868144562096177e-01
6.981949606751956068e-04,2.289599999999999969e-01,9.516863519548073302e-01
6.981949606751956068e-04,2.352799999999999891e-01,9.515353709221571199e-01
7.187301065774072710e-04,2.352799999999999891e-01,9.515347061953626229e-01
7.187301065774072710e-04,2.360399999999999998e-01,9.515164396644768541e-01
7.392652524796188267e-04,2.360399999999999998e-01,9.515164228365858845e-01
7.392652524796188267e-04,2.407799999999999940e-01,9.514131675504227115e-01
7.598003983818304909e-04,2.407799999999999940e-01,9.514128858328980698e-01
7.598003983818304909e-04,2.436200000000000032e-01,9.513484630427961886e-01
7.803355442840421551e-04,2.436200000000000032e-01,9.513483134379884243e-01
7.803355442840421551e-04,2.471599999999999908e-01,9.512581361450157535e-01
8.008706901862538193e-04,2.471599999999999908e-01,9.512580119169328219e-01
8.008706901862538193e-04,2.474600000000000133e-01,9.512530871116462450e-01
8.214058360884653751e-04,2.474600000000000133e-01,9.512529508555651603e-01
8.214058360884653751e-04,2.493200000000000138e-01,9.512161795014711929e-01
8.419409819906770393e-04,2.493200000000000138e-01,9.512158953699142439e-01
8.419409819906770393e-04,2.496200000000000085e-01,9.512107743804103510e-01
8.624761278928887035e-04,2.496200000000000085e-01,9.512104390863329595e-01
8.624761278928887035e-04,2.501999999999999780e-01,9.511975724346913852e-01
8.830112737951003677e-04,2.501999999999999780e-01,9.511966441025772045e-01
8.830112737951003677e-04,2.514000000000000123e-01,9.511665194150621394e-01
9.035464196973119234e-04,2.514000000000000123e-01,9.511659641929911535e-01
9.035464196973119234e-04,2.538799999999999946e-01,9.511081607922711179e-01
9.240815655995235876e-04,2.538799999999999946e-01,9.511070807053840781e-01
9.240815655995235876e-04,2.558799999999999963e-01,9.510513938515074983e-01
9.446167115017352518e-04,2.558799999999999963e-01,9.510506361282234922e-01
9.446167115017352518e-04,2.575000000000000067e-01,9.510093822692949894e-01
9.651518574039468076e-04,2.575000000000000067e-01,9.510071486422132514e-01
